size,variant,ops,memory
100,VarOne,8462801,8.03234375
100,VarTwo,35764873,10.24
100,VarThree,10127450,20.48
100,HybridFast,7206310,20.48
1000,VarOne,1805814,122.88
1000,VarTwo,3519386,61.44
1000,VarThree,784649,102.4
1000,HybridFast,2486763,133.14
10000,VarOne,253290,737.28
10000,VarTwo,267675,204.8
10000,VarThree,50079,645.14
10000,HybridFast,635790,757.92015625
100000,VarOne,22095,5861.985078125
100000,VarTwo,10867,573.44
100000,VarThree,11620,4408.975234375
100000,HybridFast,76832,7034.7840625
